stop_id,stop_name,stop_lat,stop_lon
334A10,Br. Santander Norte,4.58968082534,-74.10876590257
417A13,Hospital Centro Oriente Jorge Eliecer Gaitán,4.58969509350,-74.07021901898
108A10,Br. Barlovento,4.58973823251,-74.16802925817
249A10,Liceo Santa Bernardita,4.58988932074,-74.14211981168
182A10,Br. Galicia,4.59014369473,-74.17304166020
350A13,Br. Belén,4.59051503406,-74.07123246022
083A10,Br. Santander,4.59130000299,-74.10708231006
369A10,Br. Primavera II,4.59133204543,-74.18142732956
219A10,Br. Madelena,4.59133527697,-74.15984881264
056A10,Br. Villa Mayor Oriental,4.59140171684,-74.12628663895
202A10,Br. Galicia,4.59143006135,-74.16797122134
088A10,Pq. Lagunetas,4.59161452123,-74.14509718547
393A10,Br. Madelena,4.59167756432,-74.15707207881
297A10,Br. Buenos Aires,4.59206421491,-74.17961466190
230A10,Br. Madelena,4.59223935719,-74.15778239991
077A10,Br. Santander,4.59306482432,-74.11155629527
371A10,Br. Eduardo Frei,4.59372791379,-74.11374419080
394A10,Br. Venecia,4.59374557544,-74.13677136269
438A00,Hospital de la Misericordia,4.59427152772,-74.08818721031
281A10,Br. La Estancia Ciprés de la Llanada,4.59437252537,-74.17849761600
269A10,Br. Venecia,4.59443280431,-74.14119920752
066A00,Estación Bicentenario,4.59469035876,-74.08179122795
007A09,Urb. Villa Sonia,4.59486680058,-74.12628174929
025A10,SENA,4.59501470395,-74.11199707534
008A09,Urb Villa Sonia,4.59505869183,-74.12649126160
442A00,Br. San Bernardo,4.59520751949,-74.08526198221
157A00,El Vergel,4.59558996792,-74.09605187849
496A00,Vía Choachí,4.59567679765,-74.06564074634
410A09,Br. Las Delicias,4.59605499082,-74.14076573422
442A09,JAC Barrio Muzú,4.59662735862,-74.13316108806
075A09,Cementerio Jardines del Apogeo,4.59663223336,-74.17273362249
429A00,Br. El Vergel,4.59677560274,-74.09372717191
002B09,Br. Alquería,4.59743850680,-74.13642769322
045A09,Centro Comunitario Bosa,4.59783321988,-74.18048377111
643A09,Patio Guadalupe,4.59798200034,-74.15639400004
563A09,Br. Villa del Rosario,4.59803552377,-74.12264756993
562A09,Br. Autopista Muzú,4.59820843617,-74.12291741160
013A09,Barrio La Estancia,4.59848142677,-74.17758157309
580A09,Br. José María Carbonell,4.59919738518,-74.19617980888
677A00,Br. Santa Isabel Sur,4.59935928362,-74.10235407209
846A00,Plazoleta del Rosario,4.59945831382,-74.07214220011
109B09,Cementerio Jardines del Apogeo,4.59954084643,-74.17765860025
348A09,Br. Villa del Río,4.59981142267,-74.16116340339
629A09,Br. Olarte,4.59995099967,-74.16513000013
294A09,Br. Gualoche,4.60006248588,-74.18202998369
444A00,Br. La Estanzuela,4.60017031621,-74.08759509503
449A09,Br. Ospina Perez,4.60052600040,-74.12774800032
346A09,Br. Olarte,4.60083942145,-74.16668429186
032A00,Br. Veraguas,4.60092993113,-74.09699806021
517A08,Estación Santa Isabel,4.60116203974,-74.10421516163
404A09,Br. Tundama,4.60120585992,-74.14927658423
786A00,Estación San Victorino,4.60146579674,-74.07693978715
025A09,IED Benjamín Herrera,4.60151794708,-74.11992427398
085C09,Br. Alquería,4.60152679502,-74.13374055352
536A09,Br. Villa del Río,4.60171406218,-74.16009470129
112A09,Calle 40 Sur,4.60193727103,-74.14350802646
323B00,Br. Veraguas,4.60234564265,-74.09719416596
040A09,Br. La Estación,4.60240769939,-74.18120960525
457A09,UPA 26 Alcalá Muzú,4.60247616235,-74.12962581033
458A09,UPA 26 Alcalá Muzú,4.60251993630,-74.12954080948
011A09,Br. La Estancia,4.60252426841,-74.17930647581
452A09,Br. Ospina Perez,4.60281280254,-74.13124662584
640A09,Br. San Andrés,4.60304799966,-74.14511300018
605A09,Urb. Olarte,4.60320561690,-74.16320549496
459A09,Br. Alcalá,4.60362716116,-74.12918659545
540A09,Br. La Alejandra,4.60377544842,-74.14874745613
509A09,Br. La Campiña,4.60392710483,-74.14625728397
048A08,Br. San Eusebio,4.60402918535,-74.12061843326
803A00,Br. La Pepita,4.60413302011,-74.09227976597
634A09,Br. José María Carbonell,4.60415200045,-74.19567600033
325A09,Br. Catalina II,4.60445871081,-74.17038285708
220A09,Br. Piamonte Etapa I,4.60451607822,-74.18928571502
539A09,Br. Renania Urapanes,4.60461526149,-74.14657435573
179A09,Br. El Retazo,4.60502412630,-74.19279273624
226A09,Cementerio de Bosa,4.60540739184,-74.18791237159
182A09,Br. El Retazo,4.60552489679,-74.19488616847
181A09,Br. El Retazo,4.60555559471,-74.19542582973
166A09,Br. Carlos Albán Holguín,4.60571400040,-74.19789399961
087B09,Br. El Tejar,4.60578285626,-74.13087023392
506A09,Br. La Campiña,4.60589140252,-74.14572118673
037A09,Parque Los Urapanes,4.60614309192,-74.14558012783
504A00,U. Jorge Tadeo Lozano,4.60693604806,-74.06748864275
120A09,Urb. La Esperanza,4.60708815334,-74.20855362446
070A08,Br. Remanso,4.60714433358,-74.11767611954
467A00,Estación de La Sabana,4.60722037252,-74.08294531667
069A08,Br. Montes,4.60728785631,-74.11760338571
051B09,Pl. de Mercado Bosa Centro,4.60744334218,-74.18356909876
249B00,Br. La Alameda,4.60758712798,-74.07461167272
016B09,IED Alfonso López Pumarejo,4.60764515868,-74.14183007450
326A09,IED Class,4.60808455734,-74.17130936625
